date_avg,Ta (deg C) ,Tw (deg C),U2,C (tenths),Kd (watt/m^2),P  (Kpa)
271,60.78571429,46.10714286,11,0.1,209944,87.34712414
272,54.71428571,41.51351351,5,0.2,239626,87.68409786
273,47.05405405,42.9,3,0.3,283429,87.69007892
274,51.78571429,42.5,3,0,309579,87.475617
275,53.85714286,45.5,3,0,304774,87.587355
276,56.75,43.75,5,0,307298,87.88363
277,57,44.07692308,8,0,302714,87.81591
278,57.44444444,43.14285714,6,0,302663,87.90186231
279,57.96428571,43.21428571,0,0,297578,87.97432643
280,57.14814815,42.89285714,0,0,289665,88.04567429
281,57.25,43.07142857,0,0,279085,87.91144357
282,57,41.10714286,0,0,272386,87.80381714
283,54.42857143,42.5,6,0,282173,87.54019286
284,53.75,40.03571429,9,0,279949,87.72037643
285,51.85714286,41.66666667,0,0,278637,88.10613857
286,53.88888889,39.10714286,6,0,273662,87.95573926
287,52.5,39.40740741,0,0,265108,87.45917071
288,52.81481481,39.2962963,5,0,263732,87.48546148
289,52.25925926,38.11111111,8,0,268491,87.70367037
290,51.22222222,37.32142857,8,0,262329,87.74129259
291,51.46428571,36.33333333,10,0,258895,88.061395
292,50.22222222,36.7037037,9,0,253297,88.179905
293,49.76923077,43.82142857,10,0.1,237908,87.57951704
294,52.25,35.36111111,11,0.3,143385,86.63201929
295,38.72222222,27.39285714,6,0.5,157195,86.24800389
296,31.32142857,33.45454545,0,0.3,200145,87.3588
297,37.21212121,33.125,6,0.6,104239,87.54862121
298,37.5625,31.16666667,5,0.3,207877,87.51328625
299,36.06666667,24.82142857,6,0.4,212196,87.35089933
300,30.39285714,29.60714286,6,0,217751,87.78809643
301,36.60714286,33.07142857,18,0,161290,87.86065357
302,40.28571429,31.89285714,22,0.2,210807,88.07227857
303,37.75,37.21428571,20,0.1,184084,87.824375
304,46.25,33.57142857,10,0.2,203568,86.91982929
305,37.4,26.79411765,25,0.5,43162,86.01600914
306,29.41176471,22.12,13,0.4,165617,86.94052941
307,24.66,35.86666667,13,0.6,186692,87.616136
308,38.26666667,36.68571429,9,0.7,77306,87.28298304
309,40.11428571,30.48275862,11,0.3,71549,86.74835257
310,35,28.93023256,9,0.3,179556,86.07562276
311,31.23255814,30.35294118,9,0.5,164297,85.96739023
312,33.29411765,20.2173913,13,0.5,121299,86.18963412
313,22.10869565,7.805555556,13,0.4,143932,86.86046913
314,8.902777778,11.97619048,13,0.4,197209,87.99226417
315,13.69047619,22.625,8,0.5,120335,87.78688714
316,24.9375,17.7,8,0.7,110082,87.47096125
317,19.02,15.44776119,0,0.7,166093,87.8714404
318,16.89552239,5.2625,10,0.7,166097,88.27756836
319,6.4125,9.369565217,0,0.6,180064,88.84398425
320,10.63043478,5.96969697,9,0.3,172397,89.0068987
321,7.333333333,19.81578947,3,0.6,162279,88.34125303
322,22.34210526,11.17857143,3,0.5,156393,88.46281421
323,12.7037037,11.57142857,3,0,178332,88.36250714
324,13.53571429,9.744680851,6,0,167716,88.21618357
325,11.36170213,16,6,0.2,163343,88.17864426
326,18.03333333,20.9047619,0,0.2,118735,87.734646
327,22.54761905,22.14285714,3,0.2,163531,88.2818881
328,24.82142857,24.67857143,3,0,164057,88.70594429
329,27.42857143,28.29032258,3,0.2,100026,88.08316214
330,31.38709677,27.83333333,0,0.2,161905,87.94643484
331,30.30555556,20.82926829,3,0.4,111937,86.98728056
332,23.07317073,20.88636364,0,0.4,107926,86.41154585
333,22.45454545,29.62857143,0,0.7,103042,86.97094909
334,33.45714286,27.05633803,5,0.5,115744,86.29753086
